id,description,amount,category,date
1,gamers,200,general,28-07-2026
2,gamers,5,general,28-07-2026
3,gamers,5,general,28-07-2026
4,gamers,5,general,28-07-2026
5,gamers,5,general,28-07-2026
6,gamers,5,general,28-07-2026
7,gamers,5,general,28-07-2026
8,gamers,5,general,28-07-2026
9,gamers,5,general,28-07-2026
10,gamers,5,general,28-07-2026
11,gamers,5,general,28-07-2026
12,gamers,5,general,28-07-2026
13,gamers,5,general,28-07-2026
14,gamers,5,general,28-07-2026
15,gamers,5,general,28-07-2026
16,gamers,5,general,28-07-2026
17,gamers,5,general,28-07-2026
18,gamers,5,general,28-07-2026
19,gamers,5,general,28-07-2026
